hcpcs_cd,year,description,status_code,is_active,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,non_facility_total_rvu,facility_total_rvu,global_period,pc_tc_indicator,conversion_factor,non_facility_national_payment,facility_national_payment,source_table,derived_at
D0365,2023,Cone beam ct interprete man,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0366,2023,Cone beam ct interprete max,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0367,2023,Cone beam ct interp both jaw,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0368,2023,Cone beam ct interprete tmj,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0369,2023,Max mri capture & interprete,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0370,2023,Max ultrasound capt & interp,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0371,2023,Sialoendoscopy capt & interp,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0372,2023,Tomo comp series images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0373,2023,Tomo bitewing image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0374,2023,Tomo periapical image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0380,2023,Cone beam ct capture limited,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0381,2023,Cone beam ct capt mandible,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0382,2023,Cone beam ct capt maxilla,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0383,2023,Cone beam ct both jaws,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0384,2023,Cone beam ct capture tmj,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0385,2023,Max mri image capture,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0386,2023,Max ultrasound image capture,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0387,2023,Comp image capture only,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0388,2023,Bitewing image capture only,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0389,2023,Periopic image capture only,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0391,2023,Imterprete diagnostic image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0393,2023,Trtmnt simulation 3d image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0394,2023,Digital sub 2 or more images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0395,2023,Fusion 2 or more 3d images,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0411,2023,Hba1c in office testing,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0412,2023,Blood glucose level test,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0414,2023,Lab process microbial spec,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0415,2023,Collection of microorganisms,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0416,2023,Viral culture,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0417,2023,Collect & prep saliva sample,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0418,2023,Analysis of saliva sample,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0419,2023,Assess of salivary flow,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0422,2023,Collect & prep genetic samp,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0423,2023,Genetic test spec analysis,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0425,2023,Caries susceptibility test,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0431,2023,Diag tst detect mucos abnorm,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0460,2023,Pulp vitality test,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0470,2023,Diagnostic casts,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0472,2023,"Gross exam, prep & report",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0473,2023,"Micro exam, prep & report",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0474,2023,Micro w exam of surg margins,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0475,2023,Decalcification procedure,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0476,2023,Spec stains for microorganis,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0477,2023,Spec stains not for microorg,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0478,2023,Immunohistochemical stains,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0479,2023,Tissue in-situ hybridization,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0480,2023,Cytopath smear prep & report,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0481,2023,Electron microscopy,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0482,2023,Direct immunofluorescence,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0483,2023,Indirect immunofluorescence,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0484,2023,Consult slides prep elsewher,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0485,2023,Consult inc prep of slides,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0486,2023,Access of transep cytol samp,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0502,2023,Other oral pathology procedu,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0600,2023,Non-ionizing diag proc,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0601,2023,Caries risk assess low risk,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0602,2023,Caries risk assess mod risk,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0603,2023,Caries risk assess high risk,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0604,2023,Antigen test pub hlth pathog,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0605,2023,Antibody test pub hlth path,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0606,2023,Molecular test pub hlth path,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0701,2023,Pano radio image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0702,2023,2d cephal radio image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0703,2023,2d oral/facial photo image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0705,2023,Extra oral post radio image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0706,2023,Intraoral occlus radio image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0707,2023,Intraoral periap radio image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0708,2023,Intraoral bite radio image,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0709,2023,Intraoral comp image capture,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0801,2023,3d dental scan direct,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0802,2023,3d dental scan indirect,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0803,2023,3d facial scan direct,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0804,2023,3d facial scan indirect,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,1,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D0999,2023,Unspecified diagnostic proce,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1110,2023,Dental prophylaxis adult,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1120,2023,Dental prophylaxis child,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1206,2023,Topical fluoride varnish,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1208,2023,Topical app fluorid ex vrnsh,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1310,2023,Nutri counsel-control caries,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1320,2023,Tobacco counseling,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1321,2023,Couns for high risk sub use,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1330,2023,Oral hygiene instruction,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1351,2023,Dental sealant per tooth,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1352,2023,"Prev resin rest, perm tooth",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1353,2023,Sealant repair per tooth,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1354,2023,Int caries med app per tooth,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1355,2023,Caries med app per tooth,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1510,2023,Space maintainer fxd unilat,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1516,2023,"Fixed bilat space maint, max",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1517,2023,"Fixed bilat space maint, man",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1520,2023,Remove unilat space maintain,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1526,2023,"Remove bilat space main, max",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1527,2023,"Remove bilat space main, man",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1551,2023,Recement space maint - max,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1552,2023,Recement space maint - man,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1553,2023,Recement unilat space maint,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1556,2023,Rem fixed unilat space maint,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1557,2023,Remove fixed bilat maint max,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1558,2023,Remove fixed bilat man,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,XXX,5,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1575,2023,"Dist space maint, fixed unil",R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
D1999,2023,Unspecified preventive proc,R,false,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,YYY,0,33.887200,0.0000,0.0000,cms_pfs_rvu_source,2025-12-17 19:41:38.789362
